Id,Title,Short Description,Product_link,Description,Product Name,Product Brand,Outfit Name,Outfit Description,Outfit Image,Movie/Show,Series Description,Series No,Episode,Celebrity Name,Character Name,Celebrity Image,Celebrity Type,Image1,Image2,Media,Buy,Buy Link,Extra_description,Source,Key works,In House,In House Price,Why we Like it,Who will this suit,Region,Year ,Video,Exact Image,Exact Store,Exact Price,Exact BuyLink,Similar Image,Similar Store,Similar Price,Similar BuyLink,Get It Second Hand
50310,10 News First: September 2021 Jennifer’s Yellow Blazer,,https://www.shopyourtv.com/10-news-first-september-2021-jennifers-yellow-blazer/,[],['Bianca Spender Opening Night Blazer - Yellow'],,,,,['10 News First'],,,"['""September 2021""']",['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2021/09/yel-420x346.jpg?v=1630572789,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,eBay
39149,10 News First: June 2019 Amanda’s Orange Blazer,,https://www.shopyourtv.com/10-news-first-june-2019-amandas-orange-blazer/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/06/orange-blazer-420x387.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
91843,10 News First: September 2020 Jen’s Wrap Pink Blouse,,https://www.shopyourtv.com/10-news-first-september-2020-jens-wrap-pink-blouse/,Wrap Blouse,['Carla Zampatti The Passion Pink Ombre Wrap Shirt'],,,,,['10 News First'],,,['19th September 2020'],['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2020/09/tv-show-fashion-4-420x331.jpg?v=1600734417,Mainstream,,,,– $569.00,https://www.carlazampatti.com.au/products/the-passion-pink-ombre-wrap-shirt?variant=32856494440525&utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&gclid=Cj0KCQjwnqH7BRDdARIsACTSAdtl7kGx2y0xAHOVD2FBQXYi23a5omFL0q7nUmic1hjZLllmyeqMFTkaAh3ZEALw_wcB,,Shopurtv,,,,,,,,,,,,,,,,,[]
36531,10 News First (AU): Studio 10 September 2019 Tash’s Pink Blazer,,https://www.shopyourtv.com/10-news-first-au-studio-10-september-2019-tashs-pink-blazer/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Aus-TV-Talk-Shows-17-420x307.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
95115,10 Football: February 2022 Niav’s Red Blouse,,https://www.shopyourtv.com/10-football-february-2022-nias-red-blouse/,Red Blouse,['HUGO BOSS SILK-BLEND BLOUSE WITH GATHERED NECKLINE'],,,,,['10 Football AU'],,,['February 2022'],['Niav Owens'],,https://www.shopyourtv.com/wp-content/uploads/2022/02/the-porject-5-420x412.jpg?v=1643939118,Mainstream,,,,,https://shopstyle.it/l/bDG27,,Shopurtv,,,,,,,,,,,,,,,,,[]
44866,10 News First (AU): September 2019 Georgie’s Ruffle Coat,,https://www.shopyourtv.com/10-news-first-au-september-2019-georgies-ruffle-coat/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Aus-TV-Shows-420x344.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
48355,10 News First – Melbourne: March 2021 Kate’s Ribbed Dress,,https://www.shopyourtv.com/10-news-first-melbourne-march-2021-kates-ribbed-dress/,Ribbed Dress,['Bec + Bridge White Water Midi Dress'],,,,,['10 News First Melbourne'],,,['Wednesday 10th March 2021'],['Kate Freebairn'],,https://www.shopyourtv.com/wp-content/uploads/2021/03/Neighborhood-3-420x370.jpg?v=1615428311,Mainstream,,,,– $260.00,https://shopstyle.it/l/bsyLc,,Shopurtv,,,,,,,,,,,,,,,,,[]
93517,10 News First (AU): Queensland September 2019 Georgie’s Pink Dress,,https://www.shopyourtv.com/10-news-first-au-queensland-september-2019-georgies-pink-dress/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/The-Masked-Singer-1x2-3-420x343.jpg,Mainstream,,,,[],,,Shopurtv,,,,,,,,,,,,,,,,,[]
19216,10 News First: November 2021 Red Sweetheart Neck Dress,,https://www.shopyourtv.com/10-news-first-november-2021-red-sweatheart-neck-dress/,[],"[""REBECCA VALLANCE L'amour crêpe midi dress""]",,,,,['10 News First'],,,"['""November 2021""']",['Amanda Jason'],,https://www.shopyourtv.com/wp-content/uploads/2021/11/r-1-420x406.jpg?v=1638328447,Mainstream,,,,,https://rstyle.me/+MlbE7cYY4w2A2DmBEs8LpA,,Shopurtv,,,,,,,,,,,,,,,,,eBay
81877,10 News First: December 2021 Paris’ Belted White Dress,,https://www.shopyourtv.com/10-news-first-december-2021-paris-belted-white-dress/,Belted Dress,['Karen Millen Belted Tailored Dress'],,,,,['10 News First'],,,['December 2021'],['Paris Martin'],,https://www.shopyourtv.com/wp-content/uploads/2021/12/Letter-Kenny-6-420x394.jpg?v=1640660087,Mainstream,,,,,https://rstyle.me/+1gtMdv417K7X3MSLoyJfFA,,Shopurtv,,,,,,,,,,,,,,,,,[]
17022,10 News First: October 2020 Jen’s Striped Shirt,,https://www.shopyourtv.com/10-news-first-october-2020-jens-striped-shirt/,Blue Striped Blouse,['Diane Von Furstenberg Mariah Blouse'],,,,,['10 News First'],,,['Tuesday 6th October 2020'],['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2020/10/emily-in-paris-36-420x377.jpg?v=1601950544,Mainstream,,,,– $178.00,https://shopstyle.it/l/bm4kY,,Shopurtv,,,,,,,,,,,,,,,,,[]
37696,10 News First – Melbourne: June 2021 Kate’s Navy Blazer,,https://www.shopyourtv.com/10-news-first-melbourne-june-2021-kates-navy-blazer/,Navy Blazer,['Kookai Delta Oversized Blazer'],,,,,['10 News First Melbourne'],,,['1st June 2021'],['Kate Freebairn'],,https://www.shopyourtv.com/wp-content/uploads/2021/06/good-doctor-61-420x379.jpg?v=1622685370,Mainstream,,,,– $220.00,https://www.kookai.com.au/products/delta-oversized-blazer-smoke-navy?variant=39275934777416,,Shopurtv,,,,,,,,,,,,,,,,,[]
23860,10 News First: April 2021 Kate’s Pink Knit Midi Dress,,https://www.shopyourtv.com/10-news-first-april-2021-kates-pink-knit-midi-dress/,[],['Bec and Bridge White Water Midi Dress'],,,,,['10 News First'],,,"['""April 2021""']",['Kate Freebairn'],,https://www.shopyourtv.com/wp-content/uploads/2021/04/pink-midi-420x400.jpg?v=1617768271,Mainstream,,,,,https://rstyle.me/+5BNDyLPT3GeVFCloGh5GPw,,Shopurtv,,,,,,,,,,,,,,,,,eBay
80438,10 News First (AU): October 2021 Charlotte’s Blue Top & Trousers,,https://www.shopyourtv.com/10-news-first-au-october-2021-charlottes-blue-top-trousers/,[],['Mossman THE DARE TO DREAM TOP'],,,,,['10 News First (AU)'],,,"['""October 2021""']",['Charlotte Goodlet'],,https://www.shopyourtv.com/wp-content/uploads/2021/10/blue-top-1-420x377.jpg?v=1634723262,Mainstream,,,,,https://www.mossman.com.au/products/the-dare-to-dream-top-blue?variant=40435131941062&currency=AUD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gclid=CjwKCAjw_L6LBhBbEiwA4c46ug_1l7ulj9dYRydEOj6_YzswJ0eSyhGvwjfZRn4nLZuH50sJXEp9vhoCy3MQAvD_BwE,,Shopurtv,,,,,,,,,,,,,,,,,eBay
75482,10 News First: December 2020 Kate’s Ribbed Short Sleeve Knit Dress,,https://www.shopyourtv.com/10-news-first-december-2020-kates-ribbed-short-sleeve-knit-dress/,Short Sleeve Ribbed Knit Midi Dress,['Bec + Bridge White Water Dress'],,,,,['10 News First'],,,['6th December 2020'],['Kate Freebairn'],,https://www.shopyourtv.com/wp-content/uploads/2020/12/Stuid-o-10-6-420x386.jpg?v=1607388422,Mainstream,,,,– $260.00,https://www.becandbridge.com.au/products/white-water-ss-midi-dress-sage,,Shopurtv,,,,,,,,,,,,,,,,,[]
17079,10 News First (AU): Melbourne September 2019 Jen’s Ruffle White Blouse,,https://www.shopyourtv.com/10-news-first-au-melbourne-september-2019-jens-ruffle-white-blouse/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Studio-10-1-420x348.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
93456,10 News First (AU): August 2019 Roz’s Wrap Striped Blouse,,https://www.shopyourtv.com/10-news-first-au-august-2019-rozs-wrap-striped-blouse/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/08/theproject-3-420x313.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
70122,10 News First: March 2021 Natasha’s Brown Mock Neck Dress,,https://www.shopyourtv.com/10-news-first-march-2021-natashas-brown-mock-neck-dress/,Short Sleeve Brown Dress,['Karen Millen Military Tailored Dress'],,,,,['10 News First'],,,['10th March 2021'],['Natasha Exelby'],,https://www.shopyourtv.com/wp-content/uploads/2021/03/Neighborhood-3-1-420x356.jpg?v=1615428726,Mainstream,,,,– $208.50,https://rstyle.me/+tu5HSshzZ4Y_wi_sMRmQfQ,,Shopurtv,,,,,,,,,,,,,,,,,[]
32618,10 News First (AU): March 2022 Jelisa’s White Blazer,,https://www.shopyourtv.com/10-news-first-au-march-2022-jelisas-white-blazer/,[],['Zara DOUBLE-BREASTED BUTTONED BLAZER'],,,,,['10 News First (AU)'],,,"['""March 2022""']",['Jelisa Apps'],,https://www.shopyourtv.com/wp-content/uploads/2022/03/feef-5-420x366.jpg?v=1647242260,Mainstream,,,,,https://www.zara.com/au/en/double-breasted-buttoned-blazer-p04785363.html,,Shopurtv,,,,,,,,,,,,,,,,,eBay
14315,10 News AU: Sports Tonight August 2019 Roz’s Pink Blazer,,https://www.shopyourtv.com/10-news-au-sports-tonight-august-2019-rozs-pink-blazer/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/08/The-Project-August-2019-1-420x360.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
47702,10 News First: January 2022 Charlotte’s Wrap Dress,,https://www.shopyourtv.com/10-news-first-january-2022-charlottes-wrap-dress/,Wrap Dress,['DION LEE Piqué wrap dress'],,,,,['10 News First'],,,['January 2022'],['Charlotte Goodlet'],,https://www.shopyourtv.com/wp-content/uploads/2022/01/911-25-420x369.jpg?v=1643078216,Mainstream,,,,,https://shopstyle.it/l/bDjz3,,Shopurtv,,,,,,,,,,,,,,,,,[]
69171,Studio 10: May 2021 Annie’s Pink Wrap Coat,,https://www.shopyourtv.com/studio-10-may-2021-annies-pink-wrap-coat/,[],[],,,,,[],,,[],[],,,Mainstream,,,,[],,,Shopurtv,,,,,,,,,,,,,,,,,[]
14468,10 News First (AU): September 2019 Georgie’s Wrap Jacket,,https://www.shopyourtv.com/10-news-first-au-september-2019-georgies-wrap-jacket/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Aus-TV-Talk-Shows-2-420x344.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
42927,10 News First: July 2020 Roz’s Red Split Leg Dress,,https://www.shopyourtv.com/10-news-first-july-2020-rozs-red-split-leg-dress/,Red Split Dress,['Ginger & Smart Equinox Dress'],,,,,['10 News First'],,,['Monday 27th July 2020'],['Roz Kelly'],,https://www.shopyourtv.com/wp-content/uploads/2020/07/bachelor-in-paradise-14-420x386.jpg?v=1595905699,Mainstream,,,,– $649.00,https://shopstyle.it/l/bkJWy,,Shopurtv,,,,,,,,,,,,,,,,,[]
87910,Studio 10: June 2021 Narelda’s Wrap Dress,,https://www.shopyourtv.com/studio-10-june-2021-nareldas-wrap-dress/,[],[],,,,,[],,,[],[],,,Mainstream,,,,[],,,Shopurtv,,,,,,,,,,,,,,,,,[]
75303,10 News First: November 2020 Amanda’s Red Cut Out Shoulder Dress,,https://www.shopyourtv.com/10-news-first-november-2020-amandas-red-cut-out-shoulder-dress/,Red Cut Out Shoulder Dress,['Carla Zampatti The Red Lily Dress'],,,,,['10 News First'],,,"['""November 2020""']",['Amanda Jason'],,https://www.shopyourtv.com/wp-content/uploads/2020/11/10-new-420x416.jpg?v=1606194086,Mainstream,,,,,https://www.carlazampatti.com.au/products/the-red-lily-dress?variant=32856494932045,,Shopurtv,,,,,,,,,,,,,,,,,eBay
65684,10 News First (AU): Melbourne September 2019 Jennifer’s Pink Blazer,,https://www.shopyourtv.com/10-news-first-au-melbourne-september-2019-jennifers-pink-blazer/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/aus-tv-show-2-420x344.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
61781,10 News First: May 2021 Tash’s Short Sleeve Dress,,https://www.shopyourtv.com/10-news-first-may-2021-tashs-short-sleeve-dress/,Yellow Short Sleeve Dress,['Elliatt Pia Dress'],,,,,['10 News First'],,,['12th May 2021'],['Natasha Excelby'],,https://www.shopyourtv.com/wp-content/uploads/2021/05/queen-of-theouth-1-7-420x359.jpg?v=1620869447,Mainstream,,,,– $279.00,https://www.myer.com.au/p/elliatt-pia-dress,,Shopurtv,,,,,,,,,,,,,,,,,[]
52149,10 News First – Melbourne: June 2021 Kate’s Navy Trousers,,https://www.shopyourtv.com/10-news-first-melbourne-june-2021-kates-navy-trousers/,Navy Pants,['Kookai Cole Pants'],,,,,['10 News First - Melbourne'],,,['1st June 2021'],['Kate Freebarin'],,https://www.shopyourtv.com/wp-content/uploads/2021/06/good-doctor-62-420x365.jpg?v=1622685468,Mainstream,,,,– $160.00,https://www.kookai.com.au/products/cole-pants-smoke-navy?variant=39275935334472,,Shopurtv,,,,,,,,,,,,,,,,,[]
80686,10 News First (AU): September 2019 Georgie’s Taupe Dress,,https://www.shopyourtv.com/10-news-first-au-september-2019-georgies-taupe-dress/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Aus-TV-Talk-Shows-10-420x339.jpg,Mainstream,,,,[],,,Shopurtv,,,,,,,,,,,,,,,,,[]
69636,10 News First: December 2021 Charlotte’s Biege Yellow & Pink Striped Knit Sweater,,https://www.shopyourtv.com/10-news-first-december-2021-charlottes-biege-yellow-pink-striped-knit-sweater/,[],['Rachel Gilbert Knit Top & Skirt'],,,,,['10 News First'],,,"['""December 2021""']",['Charlotte Goodlet'],,https://www.shopyourtv.com/wp-content/uploads/2021/12/beige-1-1-420x382.jpg?v=1639982651,Mainstream,,,,,https://www.rachelgilbert.us/products/jaden-dress-tan-stripe,,Shopurtv,,,,,,,,,,,,,,,,,eBay
26575,10 News First: October 2020 Roz’ Blue Blouse,,https://www.shopyourtv.com/10-news-first-october-2020-roz-blue-blouse/,Blue Cinched Shoulder Top,['Manning Cartell surround sound top'],,,,,['10 News First'],,,['October 2020'],['Roz Kelly'],,https://www.shopyourtv.com/wp-content/uploads/2020/10/kuwtk-21-420x346.jpg?v=1603675553,Mainstream,,,,– Sold Out,https://www.manningcartell.com.au/,,Shopurtv,,,,,,,,,,,,,,,,,[]
18546,10 News First: September 2020 Roz’s Short Sleeve Dress,,https://www.shopyourtv.com/10-news-first-september-2020-rozs-short-sleeve-dress/,Green Puffed Sleeve Gathered Dress,['Ginger & Smart Vortex Dress'],,,,,['10 News First'],,,['Saturday 26th September 2020'],['Roz Kelly'],,https://www.shopyourtv.com/wp-content/uploads/2020/09/Studio-10-AU-21-420x373.jpg?v=1601257828,Mainstream,,,,– $699.00,https://shopstyle.it/l/bmP8B,,Shopurtv,,,,,,,,,,,,,,,,,[]
71934,10 News First (AU): September 2019 Georgie’s Black Lace Camisole,,https://www.shopyourtv.com/10-news-first-au-september-2019-georgies-black-lace-camisole/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Aus-TV-Talk-Shows-3-420x347.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
49667,10 News First: February 2022 Charlotte’s Yellow Wrap Dress,,https://www.shopyourtv.com/10-news-first-february-2022-charlottes-yellow-wrap-dress/,[],['Dion Lee Whitewash Link Wrap Dress Lemon'],,,,,['10 News First'],,,"['""February 2022""']",['Charlotte Goodlet'],,https://www.shopyourtv.com/wp-content/uploads/2022/02/yellowww-420x399.jpg?v=1645066398,Mainstream,,,,,https://ekoluv.com/products/dion-lee-whitewash-link-wrap-dress-lemon-for-hire?variant=41732968349870,,Shopurtv,,,,,,,,,,,,,,,,,eBay
47445,10 News First: November 2021 Jennifer’s Gold Blazer,,https://www.shopyourtv.com/10-news-first-november-2021-jennifers-gold-blazer/,[],['Scanlon Theodore TAILORED PATCH POCKET JACKET BRUSH'],,,,,['10 News First'],,,"['""November 2021""']",['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2021/11/gold-blazer-420x350.jpg?v=1638328583,Mainstream,,,,,https://www.scanlantheodore.com/products/tailored-patch-pocket-jacket-brush,,Shopurtv,,,,,,,,,,,,,,,,,eBay
74628,10 News First: October 2020 Sandra’s Blue Short Sleeve Dress,,https://www.shopyourtv.com/10-news-first-october-2020-sandras-blue-short-sleeve-dress/,Tie Waist Dress,['Cue Crepe Tie Waist Midi Dress'],,,,,['10 News First'],,,['Thursday 1st October 2020'],['Sandra Sully'],,https://www.shopyourtv.com/wp-content/uploads/2020/10/sneakershead-4-420x356.jpg?v=1601555269,Mainstream,,,,– $295.00,https://shopstyle.it/l/bmWeB,,Shopurtv,,,,,,,,,,,,,,,,,[]
92769,10 News First: February 2022 Tara’s Pale Yellow Blazer,,https://www.shopyourtv.com/10-news-first-february-2022-taras-pale-yellow-blazer/,[],['Scanlon Theodore Tailored Jacket in Crema'],,,,,['10 News First'],,,"['""February 2022""']",['Tara Rushton'],,https://www.shopyourtv.com/wp-content/uploads/2022/02/yellow-5-420x349.jpg?v=1645067123,Mainstream,,,,,https://www.scanlantheodore.com/products/tailored-jacket-crema,,Shopurtv,,,,,,,,,,,,,,,,,eBay
18878,10 News First: April 2021 Jennifer’s Navy Contrast Trim Blouse,,https://www.shopyourtv.com/10-news-first-april-2021-jennifers-navy-contrast-trim-blouse/,[],['Tory Burch Navy Contrast Binding Shirt'],,,,,['10 News First'],,,"['""April 2021""']",['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2021/04/navy-1-420x339.jpg?v=1617947873,Mainstream,,,,,https://www.renttherunway.com/shop/designers/tory_burch/navy_contrast_binding_shirt,,Shopurtv,,,,,,,,,,,,,,,,,eBay
45590,10 News First: July 2019 Jennifer’s Yellow Silk Blouse,,https://www.shopyourtv.com/10-news-first-july-2019-jennifers-yellow-silk-blouse/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/07/yellow-silk-blouse-420x350.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
79420,10 News First: December 2020 Charlotte’s Navy Jumpsuit,,https://www.shopyourtv.com/10-news-first-december-2020-charlottes-navy-jumpsuit/,Navy Wrap Blazer Jumpsuit,['Carla Zampatti The Desire Tuxedo Jumpsuit'],,,,,['10 News First'],,,['22nd December 2020'],['Charlotte Goodlet'],,https://www.shopyourtv.com/wp-content/uploads/2020/12/Burgundy-Leather-Jacket-11-420x386.jpg?v=1608770810,Mainstream,,,,– $629.00,https://www.carlazampatti.com.au/products/the-desire-tuxedo-jumpsuit,,Shopurtv,,,,,,,,,,,,,,,,,[]
77949,10 News First: November 2020 Narelda’s Green Blazer,,https://www.shopyourtv.com/10-news-first-november-2020-nareldas-green-blazer/,Green Blazer,['Zara Basic Blazer'],,,,,['10 News First'],,,"['""November 2020""']",['Narelda Jacobs'],,https://www.shopyourtv.com/wp-content/uploads/2020/11/green-3-420x341.jpg?v=1606193726,Mainstream,,,,,https://www.zara.com/au/en/basic-blazer-p02753653.html,,Shopurtv,,,,,,,,,,,,,,,,,eBay
35093,10 News First: October 2020 Jen’s Checked Silk Dress,,https://www.shopyourtv.com/10-news-first-october-2020-jens-checked-silk-dress/,Checked Dress,['Equipment Classic Silk Shirt Dress'],,,,,['10 News First'],,,['Wednesday 7th October 2020'],['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2020/10/sneakerheads-season-1-37-420x357.jpg?v=1602119662,Mainstream,,,,– Sold Out,https://rstyle.me/+0QMm_fpH0bAHP0R9QOhexA,,Shopurtv,,,,,,,,,,,,,,,,,[]
10109,10 News First: September 2020 Roz’s Brown Suit,,https://www.shopyourtv.com/10-news-first-september-2020-rozs-brown-suit/,[],['Acler Elba double breasted blazer & Acler Veletta flared trousers'],,,,,['10 News First'],,,['Monday 28th September 2020'],['Roz Kelly'],,https://www.shopyourtv.com/wp-content/uploads/2020/09/Studio-10-AU-24-420x378.jpg?v=1601258387,Mainstream,,,,,https://shopstyle.it/l/bmP8Y,,Shopurtv,,,,,,,,,,,,,,,,,[]
